"ID","EMBED_STR","SPORT_TYPE","DIFFICULTY","MOVING_TIME_SECONDS","DISTANCE_METERS","GENERATION_MODEL","WORKOUT_SOURCE","STORE_VERSION","RAW_JSON_STR","CREATED_AT"
"SLAM_029669fdf69c45bbad","5K Threshold Intervals
## Warm-up
• 1000m easy at <PACE_ZONE_2_ENDURANCE>

## Main Set
### Threshold Intervals
4 intervals of:
• 800m at <PACE_ZONE_4_THRESHOLD> (comfortably hard, sustainable effort)
• 200m recovery jog at <PACE_ZONE_1_RECOVERY>

## Cool-down
• 800m easy at <PACE_ZONE_2_ENDURANCE>

**Tips:** Maintain consistent effort throughout each threshold segment. Focus on smooth, controlled breathing and efficient form.","run","hard","1856","5000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""5K Threshold Intervals"", ""workout_instructions"": ""5K Threshold Intervals\n## Warm-up\n\u2022 1000m easy at <PACE_ZONE_2_ENDURANCE>\n\n## Main Set\n### Threshold Intervals\n4 intervals of:\n\u2022 800m at <PACE_ZONE_4_THRESHOLD> (comfortably hard, sustainable effort)\n\u2022 200m recovery jog at <PACE_ZONE_1_RECOVERY>\n\n## Cool-down\n\u2022 800m easy at <PACE_ZONE_2_ENDURANCE>\n\n**Tips:** Maintain consistent effort throughout each threshold segment. Focus on smooth, controlled breathing and efficient form."", ""workout_difficulty"": ""hard"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_029669fdf69c45bbad"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-25 04:00:00.000"
"SLAM_112a3864d6094fd087","Alpine Ski Session
## Conditions
Variable terrain and snow conditions

## Approach
• Multiple runs over 4 hours
• Mix of groomed runs and powder
• Focus on technique and line choice
• Total vertical descent: ~2500m

**Tips:** Stay hydrated between runs. Adjust technique for changing snow conditions.","alpineski","hard","14400","25000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Alpine Ski Session"", ""workout_instructions"": ""Alpine Ski Session\n## Conditions\nVariable terrain and snow conditions\n\n## Approach\n\u2022 Multiple runs over 4 hours\n\u2022 Mix of groomed runs and powder\n\u2022 Focus on technique and line choice\n\u2022 Total vertical descent: ~2500m\n\n**Tips:** Stay hydrated between runs. Adjust technique for changing snow conditions."", ""workout_difficulty"": ""hard"", ""sport_specs"": [{""sport_type"": ""alpineski""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_112a3864d6094fd087"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-12 08:00:00.000"
"SLAM_f4b9d4412e15477c9e","Aerobic Endurance Set
## Warm-up
• 600m progressive build
• Include 200m drill work

## Main Set
### Main Swim
8 x 200m at moderate steady pace
• Rest: 20 seconds between reps
• Focus on consistent pacing
• Maintain good technique throughout

## Cool-down
• 400m easy mixed strokes

**Tips:** Build your aerobic capacity with steady, consistent swimming. Pace control is key.","swim","moderate","3600","3000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Aerobic Endurance Set"", ""workout_instructions"": ""Aerobic Endurance Set\n## Warm-up\n\u2022 600m progressive build\n\u2022 Include 200m drill work\n\n## Main Set\n### Main Swim\n8 x 200m at moderate steady pace\n\u2022 Rest: 20 seconds between reps\n\u2022 Focus on consistent pacing\n\u2022 Maintain good technique throughout\n\n## Cool-down\n\u2022 400m easy mixed strokes\n\n**Tips:** Build your aerobic capacity with steady, consistent swimming. Pace control is key."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""swim""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_f4b9d4412e15477c9e"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-15 19:00:00.000"
"SLAM_389035263cc346a783","VO2 Max Intervals
## Warm-up
• 25 min progressive warm-up
• Include 2x3min at <POWER_ZONE_3_TEMPO>

## Main Set
### VO2 Max Efforts
5 intervals of:
• 4 min at 120% FTP (<POWER_ZONE_5_VO2MAX>)
• Very hard sustainable effort
• 4 min very easy recovery

## Cool-down
• 20 min very easy spinning

**Tips:** These are maximum sustainable efforts. Expect significant discomfort. Stay mentally focused.","ride","very hard","5400","45000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""VO2 Max Intervals"", ""workout_instructions"": ""VO2 Max Intervals\n## Warm-up\n\u2022 25 min progressive warm-up\n\u2022 Include 2x3min at <POWER_ZONE_3_TEMPO>\n\n## Main Set\n### VO2 Max Efforts\n5 intervals of:\n\u2022 4 min at 120% FTP (<POWER_ZONE_5_VO2MAX>)\n\u2022 Very hard sustainable effort\n\u2022 4 min very easy recovery\n\n## Cool-down\n\u2022 20 min very easy spinning\n\n**Tips:** These are maximum sustainable efforts. Expect significant discomfort. Stay mentally focused."", ""workout_difficulty"": ""very hard"", ""sport_specs"": [{""sport_type"": ""ride""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_389035263cc346a783"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-13 20:00:00.000"
"SLAM_8ae058c60b424834ae","Restorative Yoga Flow
## Duration
60 minutes

## Focus
• Gentle stretching and mobility work
• Breath awareness and relaxation
• Hip openers and spinal mobility
• Deep rest in final savasana

## Sequence
• Sun salutations (gentle pace)
• Standing poses and balance work
• Seated stretches and twists
• Supine relaxation poses

**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind.","yoga","easy","3600","","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Restorative Yoga Flow"", ""workout_instructions"": ""Restorative Yoga Flow\n## Duration\n60 minutes\n\n## Focus\n\u2022 Gentle stretching and mobility work\n\u2022 Breath awareness and relaxation\n\u2022 Hip openers and spinal mobility\n\u2022 Deep rest in final savasana\n\n## Sequence\n\u2022 Sun salutations (gentle pace)\n\u2022 Standing poses and balance work\n\u2022 Seated stretches and twists\n\u2022 Supine relaxation poses\n\n**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""yoga""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_8ae058c60b424834ae"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-11-06 07:00:00.000"
"SLAM_3d5b8f70dc6b4e0f94","Restorative Yoga Flow
## Duration
60 minutes

## Focus
• Gentle stretching and mobility work
• Breath awareness and relaxation
• Hip openers and spinal mobility
• Deep rest in final savasana

## Sequence
• Sun salutations (gentle pace)
• Standing poses and balance work
• Seated stretches and twists
• Supine relaxation poses

**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind.","yoga","easy","3600","","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Restorative Yoga Flow"", ""workout_instructions"": ""Restorative Yoga Flow\n## Duration\n60 minutes\n\n## Focus\n\u2022 Gentle stretching and mobility work\n\u2022 Breath awareness and relaxation\n\u2022 Hip openers and spinal mobility\n\u2022 Deep rest in final savasana\n\n## Sequence\n\u2022 Sun salutations (gentle pace)\n\u2022 Standing poses and balance work\n\u2022 Seated stretches and twists\n\u2022 Supine relaxation poses\n\n**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""yoga""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_3d5b8f70dc6b4e0f94"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-25 22:00:00.000"
"SLAM_7fee774b059b43548b","Full Body Strength
## Warm-up
• 15 min dynamic movement and mobility

## Main Set
### Compound Movements
• Back Squats: 5 sets x 5 reps at 80-85% max
• Deadlifts: 4 sets x 6 reps at 75-80% max
• Bench Press: 4 sets x 8 reps
• Bent-Over Rows: 4 sets x 10 reps
• Overhead Press: 3 sets x 8 reps

### Accessory Work
• Core circuit: 3 rounds
• Plank variations: 3x60 seconds

## Cool-down
• 10 min stretching and mobility

**Tips:** Focus on form over weight. Rest 2-3 minutes between heavy sets.","workout","hard","3600","","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Full Body Strength"", ""workout_instructions"": ""Full Body Strength\n## Warm-up\n\u2022 15 min dynamic movement and mobility\n\n## Main Set\n### Compound Movements\n\u2022 Back Squats: 5 sets x 5 reps at 80-85% max\n\u2022 Deadlifts: 4 sets x 6 reps at 75-80% max\n\u2022 Bench Press: 4 sets x 8 reps\n\u2022 Bent-Over Rows: 4 sets x 10 reps\n\u2022 Overhead Press: 3 sets x 8 reps\n\n### Accessory Work\n\u2022 Core circuit: 3 rounds\n\u2022 Plank variations: 3x60 seconds\n\n## Cool-down\n\u2022 10 min stretching and mobility\n\n**Tips:** Focus on form over weight. Rest 2-3 minutes between heavy sets."", ""workout_difficulty"": ""hard"", ""sport_specs"": [{""sport_type"": ""workout""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_7fee774b059b43548b"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-13 11:00:00.000"
"SLAM_18adeeddbbb847f2a5","Tempo Run
## Warm-up
• 1500m easy at <PACE_ZONE_2_ENDURANCE>
• 4x100m strides progressing to <PACE_ZONE_3_TEMPO>

## Main Set
• 5000m steady tempo at <PACE_ZONE_3_TEMPO>
• This should feel comfortably hard
• Sustainable for the entire duration
• Focus on consistent pacing and controlled breathing

## Cool-down
• 1500m easy at <PACE_ZONE_2_ENDURANCE>
• Light stretching focusing on legs

**Tips:** Tempo pace is your ""comfortably hard"" pace - harder than easy but sustainable for 20-60 minutes.","run","moderate","1977","8000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Tempo Run"", ""workout_instructions"": ""Tempo Run\n## Warm-up\n\u2022 1500m easy at <PACE_ZONE_2_ENDURANCE>\n\u2022 4x100m strides progressing to <PACE_ZONE_3_TEMPO>\n\n## Main Set\n\u2022 5000m steady tempo at <PACE_ZONE_3_TEMPO>\n\u2022 This should feel comfortably hard\n\u2022 Sustainable for the entire duration\n\u2022 Focus on consistent pacing and controlled breathing\n\n## Cool-down\n\u2022 1500m easy at <PACE_ZONE_2_ENDURANCE>\n\u2022 Light stretching focusing on legs\n\n**Tips:** Tempo pace is your \""comfortably hard\"" pace - harder than easy but sustainable for 20-60 minutes."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_18adeeddbbb847f2a5"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-13 21:00:00.000"
"SLAM_68aff330e45646749f","Restorative Yoga Flow
## Duration
60 minutes

## Focus
• Gentle stretching and mobility work
• Breath awareness and relaxation
• Hip openers and spinal mobility
• Deep rest in final savasana

## Sequence
• Sun salutations (gentle pace)
• Standing poses and balance work
• Seated stretches and twists
• Supine relaxation poses

**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind.","yoga","easy","3600","","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Restorative Yoga Flow"", ""workout_instructions"": ""Restorative Yoga Flow\n## Duration\n60 minutes\n\n## Focus\n\u2022 Gentle stretching and mobility work\n\u2022 Breath awareness and relaxation\n\u2022 Hip openers and spinal mobility\n\u2022 Deep rest in final savasana\n\n## Sequence\n\u2022 Sun salutations (gentle pace)\n\u2022 Standing poses and balance work\n\u2022 Seated stretches and twists\n\u2022 Supine relaxation poses\n\n**Tips:** Focus on breath and internal awareness. This is recovery work for body and mind."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""yoga""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_68aff330e45646749f"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-14 19:00:00.000"
"SLAM_907366732d1e4b4b94","VO2 Max Intervals
## Warm-up
• 2000m easy progressive from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>
• 6x100m strides building to <PACE_ZONE_5_VO2MAX>

## Main Set
### VO2 Max Repeats
5 intervals of:
• 800m at <PACE_ZONE_5_VO2MAX> (hard effort, near 5K race pace)
• 400m recovery jog at <PACE_ZONE_1_RECOVERY>

## Cool-down
• 1600m easy at <PACE_ZONE_2_ENDURANCE>

**Tips:** These are hard efforts - your breathing will be labored. Focus on maintaining form even when fatigued.","run","hard","2121","8000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""VO2 Max Intervals"", ""workout_instructions"": ""VO2 Max Intervals\n## Warm-up\n\u2022 2000m easy progressive from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>\n\u2022 6x100m strides building to <PACE_ZONE_5_VO2MAX>\n\n## Main Set\n### VO2 Max Repeats\n5 intervals of:\n\u2022 800m at <PACE_ZONE_5_VO2MAX> (hard effort, near 5K race pace)\n\u2022 400m recovery jog at <PACE_ZONE_1_RECOVERY>\n\n## Cool-down\n\u2022 1600m easy at <PACE_ZONE_2_ENDURANCE>\n\n**Tips:** These are hard efforts - your breathing will be labored. Focus on maintaining form even when fatigued."", ""workout_difficulty"": ""hard"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_907366732d1e4b4b94"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-26 01:00:00.000"
